Country,Continent,1820 to 1829,1830 to 1839,1840 to 1849,1850 to 1859,1860 to 1869,1870 to 1879,1880 to 1889,1890 to 1899,1900 to 1909,1910 to 1919,1920 to 1929,1930 to 1939,1940 to 1949,1950 to 1959,1960 to 1969,1970 to 1979,1980 to 1989,1990 to 1999,2000 to 2009,2010,2011,2012,2013,2014,2015,2016,2017
Turkey,Asia,19,8,45,94,129,382,2478,27510,127999,160717,40374,1314,754,2980,9464,12209,19208,38687,48394,7435,9040,7362,7189,7248,8762,8635,9144
Vietnam ,Asia,-,-,-,-,-,-,-,-,-,-,-,-,-,290,2949,121716,200632,275379,289616,30065,33486,27578,26578,29825,30332,40412,37541
Canada,America,2297,11875,34285,64171,117975,323974,492508,2668,123067,708715,949286,162703,160911,353169,433128,179267,156313,194788,236349,19491,19506,20138,20489,17670,19309,19349,18469
Mexico,America,3835,7187,3069,3446,1957,5133,2405,734,31188,185334,498945,32709,56158,273847,441824,621218,1009586,2757418,1704166,138717,142823,145326,134198,133107,157227,172726,168980
Cuba ,Caribbean,-,-,-,-,3420,8705,20134,23669,-,-,12769,10641,25976,73221,202030,256497,132552,159037,271742,33372,36261,32551,31343,46505,54178,66120,64749
Dominican Republic ,Caribbean,-,-,-,-,-,-,-,-,-,-,-,1165,4802,10219,83552,139249,221552,359818,291492,53890,46036,41535,41487,44550,50382,60613,58384
Haiti ,Caribbean,-,-,-,-,78,149,124,101,-,-,-,207,823,3787,28992,55166,121406,177446,203827,22336,21802,22446,20083,15107,16787,23185,21501
Jamaica,Caribbean,-,-,-,-,61,257,355,223,-,-,-,-,-,7397,62218,130226,193874,177143,172523,19439,19298,20300,19052,18804,17362,22833,21517
Belize ,Central America,-,-,-,-,9,26,80,25,583,40,285,193,433,1133,4185,6747,14964,12600,9682,997,933,875,969,823,804,878,754
Costa Rica ,Central America,-,-,-,-,2,4,1,4,-,-,-,580,1965,4044,17975,12405,25017,17054,21571,2306,2230,2152,2232,2018,2121,2295,2259
El Salvador ,Central America,-,-,-,-,-,3,-,7,-,-,-,712,4885,5094,14405,29428,137418,273017,251237,18547,18477,15874,18015,18964,18699,21268,21920
Guatemala ,Central America,-,-,-,-,1,10,3,9,-,-,-,632,1303,4197,14357,23837,58847,126043,156992,10263,10795,9857,9829,9871,11466,12548,12792
Honduras ,Central America,-,-,-,-,-,11,4,4,-,-,-,809,1874,5320,15087,15653,39071,72880,63513,6381,6053,6773,8795,8025,9071,12996,11147
Nicaragua ,Central America,-,-,-,-,-,1,1,3,-,-,-,564,4393,7812,10383,10911,31102,80446,70015,3476,3314,2943,2940,2773,3262,3397,3014
Panama,Central America,-,-,-,-,-,-,-,-,-,-,-,1774,5282,12601,22177,21395,32957,28149,18120,1627,1447,1363,1276,1164,1133,1130,1021
Argentina ,South America,-,-,-,-,7,58,64,36,-,-,-,1397,3108,16346,49384,30303,23442,30065,47955,4312,4335,4218,4227,3757,3542,3783,3191
Bolivia ,South America,-,-,-,-,-,5,-,-,-,-,-,77,893,2759,6205,5635,9798,18111,21921,2211,2113,1920,2005,1663,1549,1481,1399
Brazil ,South America,-,-,-,-,32,219,199,92,-,-,4627,1468,3653,11547,29238,18600,22944,50744,115404,12057,11643,11248,10772,10246,11247,13528,14832
Chile ,South America,-,-,-,-,25,92,44,66,-,-,-,568,1320,4669,12384,15032,19749,18200,19792,1940,1854,1628,1751,1591,1620,1711,1664
Colombia ,South America,-,-,-,-,2,196,1210,607,-,-,-,1278,3454,15567,68371,71265,105494,137985,236570,21861,22130,20272,20611,17614,16509,16830,16341
Ecuador ,South America,-,-,-,-,-,7,14,33,-,-,-,320,2207,8574,34107,47464,48015,81358,107977,11463,11068,9284,10553,10871,9816,10779,10826
Guyana ,South America,-,-,-,-,41,95,68,27,-,-,-,193,596,1131,4546,38278,85886,74407,70373,6441,6288,5282,5564,6031,5313,4909,4683
Paraguay ,South America,-,-,-,-,-,2,-,-,-,-,-,36,85,576,1249,1486,3518,6082,4623,449,501,454,437,363,353,400,364
Peru ,South America,-,-,-,-,35,127,25,79,-,-,-,460,1273,5980,19783,25311,49958,110117,137614,14063,13836,12414,12370,10450,9973,10519,9767
Suriname ,South America,-,-,-,-,-,-,-,-,-,-,-,33,130,299,612,714,1357,2285,2363,202,167,216,170,160,116,130,111
Uruguay ,South America+B62:B64,-,-,-,-,-,22,4,144,-,-,-,153,754,1026,4089,8416,7235,6062,9827,1286,1521,1348,1314,1098,1023,911,952
Venezuela ,South America,-,-,-,-,36,190,248,-,-,-,-,1360,2182,9927,20758,11007,22405,35180,82087,9497,9229,9464,9512,8289,8985,10590,11465
Egypt ,Africa,-,-,-,5,8,29,145,51,-,-,1063,781,1613,1996,5581,23543,26744,44604,81564,9822,9096,10172,10719,12043,13907,13367,11166
Ethiopia ,Africa,-,-,-,-,-,-,-,-,-,-,-,10,28,302,804,2588,12927,40097,87207,13853,13985,15400,13484,12926,12566,13699,15678
Liberia ,Africa,1,8,5,7,43,52,21,9,-,-,-,35,37,289,841,2391,6420,13587,23316,2924,3117,3451,3036,3681,3580,3545,4085
Morocco ,Africa,-,4,1,-,-,15,12,9,-,-,-,110,1463,3293,2880,1967,3471,15768,40844,4847,4249,3534,3202,3495,3569,4447,4066
South Africa ,Africa,-,-,-,-,79,48,23,9,-,-,-,312,1022,2278,4360,10002,15505,21964,32221,2705,2754,2960,2693,2871,3298,3441,3438
Australia,Oceania,2,1,2,104,96,8933,7250,3098,11191,11280,8404,2260,11201,8275,14986,18708,16901,24288,32728,3077,3062,3146,3529,3582,3795,4173,3818
New Zealand,Oceania,-,-,-,2,6,39,21,12,-,-,935,790,2351,1799,3775,5018,6129,8600,12495,1046,1006,980,1027,941,978,939,900
